text,context,targets,resolution
hx chwr temp,,"secEnteringTemp (1; rows 1, sites 1) | evapEnteringTemp (1; rows 1, sites 1)",secEnteringTemp
hx chws temp,,"secLeavingTemp (1; rows 1, sites 1) | evapLeavingTemp (1; rows 1, sites 1)",secLeavingTemp
hx cwr temp,,"priLeavingTemp (1; rows 1, sites 1) | condLeavingTemp (1; rows 1, sites 1)",priLeavingTemp
hx cws temp,,"priEnteringTemp (1; rows 1, sites 1) | condEnteringTemp (1; rows 1, sites 1)",priEnteringTemp
heat,,"heatingStage (10; rows 1283, sites 1) | perimeterValve (3.87298; rows 15, sites 1) | heatingDemand (2.82843; rows 8, sites 1) | heatingValve (1; rows 1, sites 1)",heatingStage
heat cool mode,,"hvacMode (2.23607; rows 5, sites 1) | occupancyMode (1.73205; rows 3, sites 1)",hvacMode
heat stage,,"heatingStage (14.5765; rows 720, sites 3) | exhaustTemp (3.60555; rows 13, sites 1)",heatingStage
heat valve,,"heatingValve (3.87298; rows 15, sites 1) | waterValve (1; rows 1, sites 1)",heatingValve
htg load,,"heatingDemand (15.452; rows 89, sites 3) | zoneHeatingDemand (4.89898; rows 24, sites 1)",heatingDemand
htg air flow,,"hotDeckDischargeFlow (10; rows 241, sites 1) | dischargeFlow (1; rows 1, sites 1)",hotDeckDischargeFlow
hum vlv cmd,,"humidifierValve (11.991; rows 50, sites 3) | returnHumidity (1; rows 1, sites 1)",humidifierValve
hw dp,,"secPressureDelta (4.82843; rows 10, sites 3) | priPressureDelta (1; rows 1, sites 1) | secPressureDeltaSp (1; rows 1, sites 1)",secPressureDelta
hw dp sp,,"secPressureDeltaSp (1.73205; rows 3, sites 1) | priPressureDeltaSp (1; rows 1, sites 1)",secPressureDeltaSp
hw fl,,"secEnteringFlow (2.23607; rows 5, sites 1) | priLeavingFlow (1; rows 1, sites 1)",secEnteringFlow
hw pump cmd,,"heatingCoilPump (3.74166; rows 14, sites 1) | secPump (1.41421; rows 2, sites 1)",heatingCoilPump
hw pump sts,,"heatingCoilPumpStatus (3.74166; rows 14, sites 1) | secPumpStatus (1.41421; rows 2, sites 1)",heatingCoilPumpStatus
hw r tmp,,"secEnteringTemp (2.73205; rows 4, sites 2) | priEnteringTemp (1; rows 1, sites 1)",secEnteringTemp
hw s tmp,,"secLeavingTemp (2.73205; rows 4, sites 2) | priLeavingTemp (1; rows 1, sites 1)",secLeavingTemp
hw sys ena,,"systemEnable (3; rows 3, sites 3) | boiler (1; rows 1, sites 1) | heatingEnable (1; rows 1, sites 1)",systemEnable
hw vlv pos,,"heatingValve (7.15878; rows 35, sites 2) | heatingValveFb (7.14143; rows 51, sites 1) | mixingValve (1; rows 1, sites 1)",heatingValve
hx chw s tmp,,"condLeavingTemp (1; rows 1, sites 1) | secLeavingTemp (1; rows 1, sites 1)",DROPPED (tie)
hx cw iso vlv opn,,"priLeavingIsoValveFb (1; rows 1, sites 1) | twrBypassValveFb (1; rows 1, sites 1)",priLeavingIsoValveFb
hx cw rtmp,,"condEnteringTemp (1; rows 1, sites 1) | priLeavingTemp (1; rows 1, sites 1)",DROPPED (tie)
hx cw stmp,,"condLeavingTemp (1; rows 1, sites 1) | priEnteringTemp (1; rows 1, sites 1)",DROPPED (tie)
inlet air dmp cmd,,"dischargeDamper (11; rows 210, sites 2) | dischargeFlow (1; rows 1, sites 1)",dischargeDamper
inlet dmp cmd,,"dischargeDamper (39.4868; rows 1721, sites 4) | intakeDamper (10; rows 260, sites 1) | damper (5.47723; rows 30, sites 1) | dischargeDamperFb (1; rows 1, sites 1)",dischargeDamper
inlet dmp pos,,"dischargeDamper (11.4142; rows 215, sites 2) | dischargeDamperFb (9.48528; rows 73, sites 2) | damperFb (5.47723; rows 30, sites 1) | intakeDamperFb (2.44949; rows 6, sites 1)",dischargeDamper
jwr temp,,"priLeavingTemp (1; rows 1, sites 1) | secEnteringTemp (1; rows 1, sites 1)",DROPPED (tie)
lvg cnd w temp,,"condLeavingTemp (3.73205; rows 7, sites 2) | condEnteringTemp (1; rows 1, sites 1)",condLeavingTemp
ma dmp cmd,,"outsideDamper (12.5558; rows 58, sites 4) | minOutsideDamper (1; rows 1, sites 1)",outsideDamper
minoacmd,,"minOutsideDamperFb (3.74166; rows 14, sites 1) | minOutsideDamper (2; rows 4, sites 1)",minOutsideDamperFb
max cl vol sp,,"dischargeFlowCoolMaxSp (10; rows 456, sites 1) | dischargeFlowMaxSp (9.38083; rows 88, sites 1) | coldDeckDischargeFlowMaxSp (5.38516; rows 29, sites 1)",dischargeFlowCoolMaxSp
max flow,,"dischargeFlowCoolMaxSp (15.4772; rows 856, sites 2) | dischargeFlowMaxSp (6.78233; rows 46, sites 1)",dischargeFlowCoolMaxSp
max inlet air flw sp,,"dischargeFlowMaxSp (9.71938; rows 61, sites 2) | dischargeFlowMinSp (8.30662; rows 69, sites 1)",dischargeFlowMaxSp
min cl vol sp,,"dischargeFlowCoolMinSp (10; rows 456, sites 1) | dischargeFlowMinSp (9.38083; rows 88, sites 1) | coldDeckDischargeFlowMinSp (5.38516; rows 29, sites 1)",dischargeFlowCoolMinSp
min flow,,"dischargeFlowCoolMinSp (15.4772; rows 856, sites 2) | dischargeFlowMinSp (1; rows 1, sites 1)",dischargeFlowCoolMinSp
min flow sp,,"dischargeFlowMinSp (7.07107; rows 50, sites 1) | dischargeFlowCoolMinSp (6.63325; rows 44, sites 1) | outsideFlowMinSp (5.47723; rows 30, sites 1) | dischargeFlowHeatMinSp (1.41421; rows 2, sites 1)",dischargeFlowMinSp
min ht vol sp,,"dischargeFlowHeatMinSp (10; rows 451, sites 1) | dischargeFlowHeatSp (9.38083; rows 88, sites 1) | hotDeckDischargeFlowMinSp (5.38516; rows 29, sites 1)",dischargeFlowHeatMinSp
min oa dpr pos,,"outsideDamperMinSp (4.69042; rows 22, sites 1) | minOutsideDamper (3.31662; rows 11, sites 1)",outsideDamperMinSp
minimum damper,,"outsideDamperMinSp (4.24264; rows 18, sites 1) | returnDamperMinSp (1; rows 1, sites 1)",outsideDamperMinSp
oa damper pos,,"outsideDamperFb (6.16441; rows 38, sites 1) | dischargeDamper (2.44949; rows 6, sites 1)",outsideDamperFb
oa dmp cmd,,"outsideDamper (18.5041; rows 99, sites 4) | outsideIsoDamper (1; rows 1, sites 1)",outsideDamper
occ cmd,,"occupancyMode (39; rows 2329, sites 4) | occupancyModeOvr (6.48074; rows 42, sites 1)",occupancyMode
oa cfm,,"outsideFlow (11.5845; rows 61, sites 4) | dischargeFlow (1; rows 1, sites 1)",outsideFlow
oa dpr pos,,"outsideDamper (5.89898; rows 25, sites 2) | outsideDamperSp (5.65685; rows 32, sites 1) | outsideDamperFb (1.41421; rows 2, sites 1)",outsideDamper
occ sts,,"occupancyMode (35.4772; rows 1214, sites 4) | occupancySensor (3; rows 9, sites 1)",occupancyMode
output frequency,,"twrFanFrequency (2.23607; rows 5, sites 1) | condPumpFrequency (2; rows 4, sites 1) | priPumpFrequency (2; rows 4, sites 1) | secPumpFrequency (1.73205; rows 3, sites 1)",twrFanFrequency
output percent,,"condPumpSpeed (2; rows 4, sites 1) | priPumpSpeed (2; rows 4, sites 1) | twrFanFrequency (1.73205; rows 3, sites 1)",DROPPED (tie)
output volt,,"condPumpVoltage (2; rows 4, sites 1) | priPumpVoltage (2; rows 4, sites 1) | twrFanVoltage (1.73205; rows 3, sites 1)",DROPPED (tie)
p1 ct sts,,"circPumpStatus (1; rows 1, sites 1) | secPumpStatus (1; rows 1, sites 1)",DROPPED (tie)
p1 spd,,"circPumpSpeed (1; rows 1, sites 1) | secPumpSpeed (1; rows 1, sites 1)",DROPPED (tie)
p2 spd,,"circPumpSpeed (1; rows 1, sites 1) | secPumpSpeed (1; rows 1, sites 1)",DROPPED (tie)
p8 cmd,,"condPump (1; rows 1, sites 1) | secPump (1; rows 1, sites 1)",DROPPED (tie)
p8 sts,,"condPumpStatus (1; rows 1, sites 1) | secPumpStatus (1; rows 1, sites 1)",DROPPED (tie)
pht,,"heatingCoilDischargeTemp (4.12311; rows 17, sites 1) | preHeatingCoilDischargeTemp (2; rows 4, sites 1) | preHeatingTemp (1; rows 1, sites 1)",heatingCoilDischargeTemp
power,,"condPumpPowerReal (2; rows 4, sites 1) | powerReal (2; rows 4, sites 1) | priPumpPowerReal (2; rows 4, sites 1) | secPumpPowerReal (2; rows 4, sites 1) | twrFanPowerReal (1.73205; rows 3, sites 1)",DROPPED (tie)
pchw p01 ena,,"evapPump (1; rows 1, sites 1) | secPump (1; rows 1, sites 1)",DROPPED (tie)
pchw p1 sts,,"evapPumpStatus (1; rows 1, sites 1) | secPumpStatus (1; rows 1, sites 1)",DROPPED (tie)
pmp cmd,,"secPump (1.73205; rows 3, sites 1) | condPump (1.41421; rows 2, sites 1) | evapPump (1.41421; rows 2, sites 1) | heatingCoilPump (1; rows 1, sites 1)",secPump
pmp spd,,"secPumpSpeed (4.18154; rows 9, sites 2) | pumpSpeed (0.5; rows 0, sites 0)",secPumpSpeed
pmp sts,,"secPumpStatus (1.73205; rows 3, sites 1) | condPumpStatus (1.41421; rows 2, sites 1) | evapPumpStatus (1.41421; rows 2, sites 1) | heatingCoilPumpStatus (1; rows 1, sites 1)",secPumpStatus
primary he return temp,,"priEnteringTemp (1; rows 1, sites 1) | priLeavingTemp (1; rows 1, sites 1)",DROPPED (tie)
pump status bi,,"boosterPumpStatus (2.82843; rows 8, sites 1) | evapPumpStatus (1; rows 1, sites 1)",boosterPumpStatus
pump status,,"pumpStatus (3.74166; rows 14, sites 1) | pump (1.41421; rows 2, sites 1) | secPumpStatus (1.41421; rows 2, sites 1)",pumpStatus
ra tmp,,"returnTemp (37.6158; rows 531, sites 4) | occupiedHeatSp (1; rows 1, sites 1)",returnTemp
rco2 st pt,,"returnCO2Sp (6.55744; rows 43, sites 1) | returnCO2 (1; rows 1, sites 1)",returnCO2Sp
rf cmd sts,,"returnFan (1.73205; rows 3, sites 1) | exhaustFan (1; rows 1, sites 1)",returnFan
rf spd,,"returnFanSpeed (25.2504; rows 172, sites 4) | returnFanSpeedFb (2.44949; rows 6, sites 1) | returnFanFrequency (1.41421; rows 2, sites 1)",returnFanSpeed
rhc vlv cmd,,"reHeatingValve (31.019; rows 405, sites 4) | heatingValve (22.2361; rows 1207, sites 3)",reHeatingValve
ra dmpr pos,,"outsideDamper (3.4641; rows 12, sites 1) | returnDamperFb (1; rows 1, sites 1)",outsideDamper
rm rel hum,,"zoneHumidity (7.47371; rows 19, sites 4) | returnHumidity (2; rows 4, sites 1)",zoneHumidity
run stop act,,"condPumpStatus (2; rows 4, sites 1) | twrFanStatus (1.73205; rows 3, sites 1)",condPumpStatus
run stop cmd,,"condPump (2; rows 4, sites 1) | dischargeFan (1.73205; rows 3, sites 1)",condPump
run sts,,"chillerStatus (2.82843; rows 8, sites 1) | condPumpStatus (2.23607; rows 5, sites 1) | secPumpStatus (2; rows 4, sites 1) | evapPumpStatus (1; rows 1, sites 1) | exhaustFanStatus (1; rows 1, sites 1)",chillerStatus
sa st prs,,"dischargePressure (29.2516; rows 256, sites 4) | dischargeFanLeavingPressure (1; rows 1, sites 1)",dischargePressure
sa tmp,,"dischargeTemp (40; rows 5227, sites 4) | zoneHumidity (3.31662; rows 11, sites 1) | coldDeckDischargeTemp (1.41421; rows 2, sites 1)",dischargeTemp
sa tmp sp,,"dischargeTempSp (32.1455; rows 330, sites 4) | dischageTempSp (3; rows 9, sites 1)",dischargeTempSp
sa sp,,"dischargeTempSp (7.10985; rows 20, sites 3) | dischargePressure (2.64575; rows 7, sites 1)",dischargeTempSp
sf run status bi,,"dischargeFanStatus (4; rows 16, sites 1) | dischargeFan (1; rows 1, sites 1)",dischargeFanStatus
sf cmd sts,,"dischargeFan (3.87298; rows 15, sites 1) | returnFan (1.41421; rows 2, sites 1)",dischargeFan
schw dp sp,,"secLeavingPressureSp (1; rows 1, sites 1) | secPressureDeltaSp (1; rows 1, sites 1)",secLeavingPressureSp
setpoint,,"zoneTempSp (4; rows 16, sites 1) | priLeavingTempSp (2.44949; rows 6, sites 1) | dischargeTempCoolSp (1.41421; rows 2, sites 1)",zoneTempSp
start stop,,"priPump (2; rows 4, sites 1) | chiller (1.73205; rows 3, sites 1)",priPump
status,,"priPumpStatus (2; rows 4, sites 1) | chillerStatus (1.73205; rows 3, sites 1)",priPumpStatus
stop run state,,"secPumpStatus (1.41421; rows 2, sites 1) | twrFanStatus (1; rows 1, sites 1)",secPumpStatus
sts,,"dischargeFanStatus (2.64575; rows 7, sites 1) | priPumpStatus (2.23607; rows 5, sites 1) | chillerStatus (1.41421; rows 2, sites 1) | twrFanStatus (1.41421; rows 2, sites 1)",dischargeFanStatus
ut ahu cd tmp,,"coldDeckDischargeTemp (4.12311; rows 17, sites 1) | coldDeckDischargeTempSp (1; rows 1, sites 1)",coldDeckDischargeTemp
ut ahu rf cmd,,"returnFan (3.87298; rows 15, sites 1) | returnFanStatus (1; rows 1, sites 1)",returnFan
ut ahu sf sts,,"dischargeFanStatus (4.12311; rows 17, sites 1) | returnFanStatus (1; rows 1, sites 1)",dischargeFanStatus
ut ahu rf sts,,"returnFanStatus (3.74166; rows 14, sites 1) | returnFan (1; rows 1, sites 1)",returnFanStatus
ut blr blr ena,,"boiler (1.73205; rows 3, sites 1) | systemEnable (1; rows 1, sites 1)",boiler
unit enable,,"systemEnable (2.41421; rows 3, sites 2) | occupancyMode (1; rows 1, sites 1)",systemEnable
uoc clg sp,,"unoccupiedCoolSp (35.2915; rows 784, sites 4) | dischargeFlowUnoccCoolSp (10; rows 317, sites 1)",unoccupiedCoolSp
vlv comd,,"heatingValve (20; rows 955, sites 2) | coolingValve (16.1644; rows 151, sites 2) | reHeatingValve (10; rows 351, sites 1) | waterValve (10; rows 707, sites 1) | perimeterHeatingValve (9.32738; rows 87, sites 1) | radiantHeatingValve (2; rows 4, sites 1)",heatingValve
valve cmd,,"heatingValve (7.16441; rows 39, sites 2) | perimeterHeatingValve (3.60555; rows 13, sites 1)",heatingValve
vfd ss,,"dischargeFan (6.32456; rows 40, sites 1) | secPump (1; rows 1, sites 1)",dischargeFan
vfd spd,,"dischargeFanSpeed (6.245; rows 39, sites 1) | twrFanSpeedFb (2; rows 4, sites 1) | secPumpSpeed (1; rows 1, sites 1)",dischargeFanSpeed
vfd sts,,"dischargeFanStatus (11.9896; rows 72, sites 2) | twrFanStatus (2; rows 4, sites 1)",dischargeFanStatus
zn t sp clg,,"occupiedCoolSp (19.4868; rows 250, sites 2) | zoneCoolSp (10; rows 429, sites 1)",occupiedCoolSp
zn t sp htg,,"occupiedHeatSp (19.4868; rows 250, sites 2) | zoneHeatSp (10; rows 429, sites 1)",occupiedHeatSp
nci max flow,,"dischargeFlowCoolMaxSp (15.2915; rows 245, sites 2) | dischargeFlowMaxSp (10; rows 1316, sites 1)",dischargeFlowCoolMaxSp
nci min flow,,"dischargeFlowMinSp (10; rows 1316, sites 1) | dischargeFlowCoolMinSp (8.66025; rows 75, sites 1)",dischargeFlowMinSp
nvi ref pcnt vfd speed stpt,,"secPumpSpeedSp (1.41421; rows 2, sites 1) | twrFanSpeedSp (1; rows 1, sites 1)",secPumpSpeedSp
nvo damper pos,,"dischargeDamper (17.8102; rows 255, sites 2) | damper (3; rows 9, sites 1)",dischargeDamper
nvo drv curnt,,"secPumpCurrent (1.41421; rows 2, sites 1) | twrFanCurrent (1; rows 1, sites 1)",secPumpCurrent
nvo drv pwr,,"secPumpPowerReal (1.41421; rows 2, sites 1) | twrFanPowerReal (1; rows 1, sites 1)",secPumpPowerReal
nvo drv speed,,"secPumpSpeed (1.41421; rows 2, sites 1) | twrFanSpeed (1; rows 1, sites 1) | dischargeFanSpeedFb (1; rows 1, sites 1)",secPumpSpeed
nvo output hz,,"secPumpFrequency (1.41421; rows 2, sites 1) | twrFanFrequency (1; rows 1, sites 1)",secPumpFrequency
out,,"zoneTemp (22.2361; rows 287, sites 3) | dischargeDamper (20; rows 280, sites 2) | dischargeDamperFb (16.7823; rows 246, sites 2) | dischargeFanStatus (13.8119; rows 74, sites 4) | heatingValve (13.2727; rows 94, sites 3) | dischargeFan (11.4132; rows 64, sites 4) | occupiedCoolSp (11.025; rows 64, sites 2) | unoccupiedCoolSp (11.025; rows 64, sites 2) | zoneTempSp (11; rows 130, sites 2) | dischargeTemp (10.8995; rows 75, sites 3) | occupiedHeatSp (10.7823; rows 62, sites 2) | unoccupiedHeatSp (10.7823; rows 62, sites 2) | dischargeFlow (10; rows 130, sites 1) | dischargeFlowSp (10; rows 129, sites 1) | dischargeTempSp (10; rows 129, sites 1) | zoneCoolSp (10; rows 129, sites 1) | zoneHeatSp (10; rows 129, sites 1) | occupiedMode (9.11043; rows 83, sites 1) | occupancyMode (7.78233; rows 47, sites 2) | returnDamper (5.47371; rows 17, sites 2) | coolingValve (5; rows 11, sites 3) | outsideDamper (5; rows 17, sites 2) | returnTemp (4.74166; rows 15, sites 2) | minOutsideDamper (3.4641; rows 12, sites 1) | dischargePressureSp (3.23607; rows 6, sites 2) | coldDeckDischargeTemp (2.82843; rows 8, sites 1) | hotDeckDischargeTemp (2.82843; rows 8, sites 1) | outsideTemp (2.44949; rows 6, sites 1) | reliefDamper (2.44949; rows 6, sites 1) | buildingPressureSp (2; rows 4, sites 1) | reHeatingValve (2; rows 4, sites 1) | secPumpSpeed (2; rows 4, sites 1) | chillerStatus (1.41421; rows 2, sites 1) | condEnteringTemp (1.41421; rows 2, sites 1) | condLeavingTemp (1.41421; rows 2, sites 1) | dischargeFlowMaxSp (1.41421; rows 2, sites 1) | evapEnteringTempSp (1.41421; rows 2, sites 1) | evapLeavingPressure (1.41421; rows 2, sites 1) | evapLeavingTemp (1.41421; rows 2, sites 1) | faceBypassDamper (1.41421; rows 2, sites 1) | outsideDamperFb (1.41421; rows 2, sites 1) | returnDamperFb (1.41421; rows 2, sites 1) | returnFanStatus (1.41421; rows 2, sites 1) | damper (1; rows 1, sites 1) | dischargeFanSpeed (1; rows 1, sites 1) | dischargePressureMaxSp (1; rows 1, sites 1) | energyRecoveryMode (1; rows 1, sites 1) | evapPressureDelta (1; rows 1, sites 1) | exhaustEnthalpy (1; rows 1, sites 1) | exhaustFanSpeed (1; rows 1, sites 1) | exhaustFanStatus (1; rows 1, sites 1) | exhaustHumidity (1; rows 1, sites 1) | minOutsideDamperFb (1; rows 1, sites 1) | minOutsideFlow (1; rows 1, sites 1) | mixedTemp (1; rows 1, sites 1) | mixedTempSp (1; rows 1, sites 1) | outsideEnthalpy (1; rows 1, sites 1) | outsideFlow (1; rows 1, sites 1) | preHeatingCoilDischargeTempSp (1; rows 1, sites 1) | returnHumiditySp (1; rows 1, sites 1) | returnPressure (1; rows 1, sites 1) | secEnteringTemp (1; rows 1, sites 1) | secLeavingTemp (1; rows 1, sites 1) | twrFanSpeed (1; rows 1, sites 1) | twrIsoValve (1; rows 1, sites 1)",zoneTemp
act sp,,"priLeavingTempSp (1; rows 1, sites 1) | secLeavingTempSp (1; rows 1, sites 1)",priLeavingTempSp
air temp sp,,"returnTempSp (1.41421; rows 2, sites 1) | dischargeTempSp (1.41421; rows 2, sites 1)",returnTempSp
blr blr ena,,"boiler (1.41421; rows 2, sites 1) | systemEnable (1; rows 1, sites 1)",boiler
blr blr lvg tmp,,"priLeavingTemp (1.73205; rows 3, sites 1) | waterLeavingTemp (1.41421; rows 2, sites 1)",priLeavingTemp
blr hwr tmp,,"priEnteringTemp (3.41421; rows 6, sites 2) | enteringTemp (1.73205; rows 3, sites 1) | priLeavingIsoValve (1; rows 1, sites 1) | priLeavingTemp (1; rows 1, sites 1) | secEnteringTemp (1; rows 1, sites 1)",priEnteringTemp
blr hws tmp,,"priLeavingTemp (4.23607; rows 9, sites 2) | leavingTemp (3.14626; rows 5, sites 2) | secLeavingTemp (2.44949; rows 6, sites 1) | boiler (1; rows 1, sites 1) | priLeavingIsoValveFb (1; rows 1, sites 1)",priLeavingTemp
blr iso vlv cmd,,"priEnteringIsoValve (1.41421; rows 2, sites 1) | priLeavingIsoValve (1; rows 1, sites 1)",priEnteringIsoValve
bldg st prs avg,,"buildingPressureAvg (2; rows 4, sites 1) | buildingPressure (1.41421; rows 2, sites 1)",buildingPressureAvg
blr hws iso ena,,"priLeavingIsoValve (1; rows 1, sites 1) | priLeavingIsoValveFb (1; rows 1, sites 1) | priLeavingTemp (1; rows 1, sites 1)",priLeavingIsoValve
blr iso fbk,,"priLeavingIsoValveFb (1; rows 1, sites 1) | boiler (1; rows 1, sites 1) | priEnteringTemp (1; rows 1, sites 1)",priLeavingIsoValveFb
c,,"dischargeFan (2; rows 4, sites 1) | exhaustFan (2; rows 4, sites 1) | secPump (1.41421; rows 2, sites 1)",DROPPED (tie)
ccfbd,,"coolingValveFb (2.44949; rows 6, sites 1) | faceBypassDamper (1.41421; rows 2, sites 1) | faceBypassDamperFb (1; rows 1, sites 1)",coolingValveFb
cc tmp,,"coolingCoilDischargeTemp (4.89898; rows 12, sites 2) | dischargeTemp (2.64575; rows 7, sites 1) | coolingCoilLeavingTemp (1; rows 1, sites 1)",coolingCoilDischargeTemp
ccv,,"coolingValve (6.7082; rows 45, sites 1) | coolingValveFb (1; rows 1, sites 1)",coolingValve
cd dmp pos,,"coldDeckDamper (10; rows 340, sites 1) | coldDeckDamperFb (9.48683; rows 90, sites 1)",coldDeckDamper
cdsa tmp sp,,"coldDeckDischargeTempSp (9.89949; rows 98, sites 1) | dischargeTempSp (6.32456; rows 40, sites 1) | outsideFlowSp (1; rows 1, sites 1)",coldDeckDischargeTempSp
cdsfvfd cmd,,"coldDeckFan (9.16515; rows 84, sites 1) | dischargeFan (4; rows 16, sites 1)",coldDeckFan
cdsfvfd spd,,"coldDeckFanSpeed (9.16515; rows 84, sites 1) | dischargeFanSpeed (1.41421; rows 2, sites 1) | dischargeFanSpeedFb (1; rows 1, sites 1)",coldDeckFanSpeed
cdsfvfd sts,,"coldDeckFanStatus (9.16515; rows 84, sites 1) | dischargeFanStatus (4; rows 16, sites 1)",coldDeckFanStatus
cd st prs,,"coldDeckDischargePressure (18.7507; rows 176, sites 2) | dischargePressure (1.73205; rows 3, sites 1) | coldDeckDischargePress (1.41421; rows 2, sites 1)",coldDeckDischargePressure
cd st prs sp,,"coldDeckDischargePressureSp (13.2426; rows 99, sites 2) | coldDeckDischargePressSp (1.73205; rows 3, sites 1) | dischargePressureSp (1.73205; rows 3, sites 1)",coldDeckDischargePressureSp
cdt,,"coldDeckDischargeTemp (3.60555; rows 13, sites 1) | dischargeTemp (1.41421; rows 2, sites 1)",coldDeckDischargeTemp
cd temp,,"dischargeTemp (3; rows 9, sites 1) | coldDeckDischargeTemp (2.82843; rows 8, sites 1)",dischargeTemp
chb s,,"chillerStatus (1; rows 1, sites 1) | condPumpStatus (1; rows 1, sites 1)",DROPPED (tie)
chp,,"priPump (2.23607; rows 5, sites 1) | coolingCoilPump (1; rows 1, sites 1)",priPump
chw f,,"secLeavingFlow (2; rows 2, sites 2) | evapLeavingFlow (2; rows 4, sites 1) | secEnteringFlow (1; rows 1, sites 1)",secLeavingFlow
chwbypv o,,"secBypassValve (2; rows 2, sites 2) | bypassValve (1; rows 1, sites 1)",secBypassValve
chw flw rat,,"evapLeavingFlow (4; rows 16, sites 1) | evapEnteringFlow (1.41421; rows 2, sites 1)",evapLeavingFlow
chw iso vlv cmd,,"evapEnteringIsoValve (1.73205; rows 3, sites 1) | evapLeavingIsoValve (1.41421; rows 2, sites 1)",evapEnteringIsoValve
chwp c,,"evapPump (2.64575; rows 7, sites 1) | priPump (1.73205; rows 3, sites 1) | secPump (1.41421; rows 2, sites 1)",evapPump
chwp o,,"evapPumpSpeed (2; rows 4, sites 1) | priPumpSpeed (1.73205; rows 3, sites 1) | secPumpSpeed (1.41421; rows 2, sites 1)",evapPumpSpeed
chwp s,,"evapPumpStatus (2.64575; rows 7, sites 1) | priPumpStatus (1.73205; rows 3, sites 1) | secPumpStatus (1.41421; rows 2, sites 1)",evapPumpStatus
chwp pri chw pmp cmd,,"priPump (4.18154; rows 9, sites 2) | evapPump (1.73205; rows 3, sites 1)",priPump
chwp pri chw pmp sts,,"priPumpStatus (4.18154; rows 9, sites 2) | evapPumpStatus (1.73205; rows 3, sites 1)",priPumpStatus
chw pmp spd,,"secPumpSpeed (6.63103; rows 15, sites 3) | evapPumpSpeed (1.41421; rows 2, sites 1) | secPump (1.41421; rows 2, sites 1) | secPumpSpeedFb (1.41421; rows 2, sites 1)",secPumpSpeed
chws flw rat,,"secLeavingFlow (3; rows 9, sites 1) | evapLeavingFlow (1.41421; rows 2, sites 1)",secLeavingFlow
chws sp,,"secLeavingTempSp (2.41421; rows 3, sites 2) | evapLeavingTempSp (2; rows 4, sites 1)",secLeavingTempSp
chw rwt,,"coolingCoilEnteringTemp (2; rows 4, sites 1) | secEnteringTemp (1; rows 1, sites 1)",coolingCoilEnteringTemp
chw swt,,"coolingCoilLeavingTemp (2; rows 4, sites 1) | secLeavingTemp (1.41421; rows 2, sites 1)",coolingCoilLeavingTemp
clg o,,"coolingValve (21.43; rows 326, sites 3) | coolingDemand (10; rows 136, sites 1)",coolingValve
co2,,"returnCO2 (11.7097; rows 69, sites 2) | zoneCO2 (4.58258; rows 21, sites 1)",returnCO2
co2 sensor reading,,"returnCO2 (2.82843; rows 8, sites 1) | zoneCO2 (2.64575; rows 7, sites 1)",returnCO2
co2 s,,"zoneCO2Sp (2.23607; rows 5, sites 1) | returnCO2Sp (2; rows 4, sites 1)",zoneCO2Sp
ct fan,,"dischargeFan (1.73205; rows 3, sites 1) | twrFan (1.73205; rows 3, sites 1)",DROPPED (tie)
ct isov c,,"twrEnteringIsoValve (1.73205; rows 3, sites 1) | twrLeavingIsoValve (1.73205; rows 3, sites 1) | twrIsoValve (1.41421; rows 2, sites 1)",DROPPED (tie)
ct iso vlv,,"twrEnteringIsoValve (1.41421; rows 2, sites 1) | twrLeavingIsoValve (1.41421; rows 2, sites 1) | twrIsoValve (1; rows 1, sites 1)",DROPPED (tie)
ct spd,,"twrFanSpeed (4.87832; rows 8, sites 3) | twrFanSpeedFb (1.41421; rows 2, sites 1)",twrFanSpeed
ct ena,,"systemEnable (1.41421; rows 2, sites 1) | twrEnable (0.5; rows 0, sites 0)",systemEnable
ctl temp,,"zoneTemp (12.4495; rows 1097, sites 2) | zoneTempSp (6.32456; rows 40, sites 1)",zoneTemp
cts temp,,"condLeavingTemp (1; rows 1, sites 1) | twrLeavingTemp (1; rows 1, sites 1)",DROPPED (tie)
cvwhcs c,,"priMixingValve (1; rows 1, sites 1) | secLeavingIsoValve (1; rows 1, sites 1)",DROPPED (tie)
cw sp,,"condLeavingTempSp (1; rows 1, sites 1) | twrLeavingTempSp (1; rows 1, sites 1)",DROPPED (tie)
cwpb s,,"condPumpStatus (1.41421; rows 2, sites 1) | condPump (1; rows 1, sites 1) | secPumpStatus (1; rows 1, sites 1)",condPumpStatus
cwr tmp,,"condEnteringTemp (3; rows 9, sites 1) | condLeavingTemp (2.41421; rows 3, sites 2) | twrEnteringTemp (1.41421; rows 2, sites 1)",condEnteringTemp
cwr v,,"condLeavingIsoValve (1.41421; rows 2, sites 1) | coolingValve (1; rows 1, sites 1) | priLeavingIsoValve (1; rows 1, sites 1)",condLeavingIsoValve
cws tmp sp,,"twrLeavingTempSp (1.73205; rows 3, sites 1) | condEnteringTempSp (1; rows 1, sites 1) | condLeavingTempSp (1; rows 1, sites 1)",twrLeavingTempSp
cws sp,,"secLeavingTempSp (1; rows 1, sites 1) | twrLeavingTempSp (1; rows 1, sites 1)",DROPPED (tie)
cws temp sp,,"condEnteringTempSp (1.73205; rows 3, sites 1) | condLeavingTempSp (1; rows 1, sites 1)",condEnteringTempSp
