text,old_resolution,new_resolution,changed,n_labels,rows_at_stake,old_score,new_score,n_sites_old,n_sites_new,synth_gen_old,synth_gen_new,per_site_rows,val_gold,test_gold,decision
prot clg stpt,standbyCoolSp,standbyCoolSp,False,2,204,199.0,10.0,1,1,0/0,0/0,"{'standbyCoolSp': {'N4-Integ03': 199}, 'unoccupiedCoolSp': {'N4-Integ03': 5}}",,,
hd dmp pos,hotDeckDamper,hotDeckDamper,False,2,196,140.0,10.0,1,1,0/0,0/0,"{'hotDeckDamper': {'N4-Integ02': 140}, 'hotDeckDamperFb': {'N4-Integ02': 56}}",hotDeckDamperFb,,
hd st prs,hotDeckDischargePressure,hotDeckDischargePressure,False,4,194,89.0,11.56,2,2,0/0,0/0,"{'dischargePressure': {'N4-Integ02': 16}, 'dischargePressureSp': {'N4-Integ02': 1}, 'hotDeckDischargePressure': {'N4-Integ02': 83, 'N4-Integ03': 6}, 'hotDeckLeavingPressure': {'N4-Integ03': 88}}",hotDeckDischargePressure,,
dmp cmd,dischargeDamper,dischargeDamper,False,2,188,177.0,10.0,1,1,0/0,0/0,"{'intakeDamper': {'N4-Integ02': 11}, 'dischargeDamper': {'N4-Integ04': 177}}",dischargeDamper,,
vav clg dmd,coolingDemand,coolingDemand,False,3,188,140.0,10.0,1,1,0/0,0/0,"{'coldDeckDamper': {'N4-Integ03': 29}, 'coolingDemand': {'N4-Integ03': 140}, 'coolingValve': {'N4-Integ03': 19}}",,,
cooling demand,coolingValve,coolingValve,False,2,186,186.0,10.0,1,1,0/0,0/0,"{'zoneCoolingDemand': {}, 'coolingValve': {'N4-Integ04': 186}}",,,
cd st prs,coldDeckDischargePressure,coldDeckDischargePressure,False,3,181,176.0,18.751,2,2,0/0,0/0,"{'coldDeckDischargePress': {'N4-Integ02': 2}, 'coldDeckDischargePressure': {'N4-Integ02': 82, 'N4-Integ03': 94}, 'dischargePressure': {'N4-Integ02': 3}}",coldDeckDischargePressure,,
rf spd,returnFanSpeed,returnFanSpeed,False,3,180,172.0,25.25,4,4,0/0,0/0,"{'returnFanSpeed': {'N4-Integ01': 14, 'N4-Integ02': 45, 'N4-Integ03': 37, 'N4-Integ04': 76}, 'returnFanFrequency': {'N4-Integ03': 2}, 'returnFanSpeedFb': {'N4-Integ04': 6}}",returnFanSpeed,N4-Integ06:returnFanSpeed,
clg sig,coolingValve,coolingValve,False,2,173,141.0,10.0,1,1,0/0,0/0,"{'coolingValve': {'N4-Integ02': 141}, 'coolingValveFb': {'N4-Integ02': 32}}",coolingDemand,,
vav htg dmd,heatingDemand,heatingDemand,False,2,169,140.0,10.0,1,1,0/0,0/0,"{'heatingDemand': {'N4-Integ03': 140}, 'hotDeckDamper': {'N4-Integ03': 29}}",,,
econ ena,econEnable,econEnable,False,3,167,152.0,21.836,4,4,0/0,0/0,"{'econEnable': {'N4-Integ01': 6, 'N4-Integ02': 34, 'N4-Integ03': 13, 'N4-Integ04': 99}, 'cool': {'N4-Integ03': 14}, 'econMode': {'N4-Integ04': 1}}",econEnable,,
ra rel hum,returnHumidity,returnHumidity,False,2,165,165.0,25.502,4,4,1/0,1/0,"{'returnHumidity': {'N4-Integ01': 9, 'N4-Integ02': 42, 'N4-Integ03': 61, 'N4-Integ04': 52}, 'outsideHumidity': {'N4-Integ04': 1}}",returnHumidity,N4-Integ06:returnHumidity,
current damper position,damperFb,damperFb,False,3,161,75.0,8.66,1,1,0/0,0/0,"{'damperFb': {'N4-Integ02': 75}, 'dischargeDamper': {'N4-Integ02': 54}, 'dischargeDamperFb': {'N4-Integ02': 32}}",,,
cdsa tmp sp,coldDeckDischargeTempSp,coldDeckDischargeTempSp,False,3,139,98.0,9.899,1,1,0/0,0/0,"{'coldDeckDischargeTempSp': {'N4-Integ02': 98}, 'dischargeTempSp': {'N4-Integ02': 40}, 'outsideFlowSp': {'N4-Integ02': 1}}",,,
occ cmd sts,occupancyStatus,occupancyStatus,False,2,139,86.0,9.274,1,1,0/0,0/0,"{'occupancyMode': {'N4-Integ03': 53}, 'occupancyStatus': {'N4-Integ03': 86}}",,,
clg load,coolingDemand,coolingDemand,False,2,137,113.0,17.111,3,3,0/0,0/0,"{'coolingDemand': {'N4-Integ01': 7, 'N4-Integ03': 65, 'N4-Integ04': 41}, 'zoneCoolingDemand': {'N4-Integ01': 24}}",,,
hdsa tmp,hotDeckDischargeTemp,hotDeckDischargeTemp,False,2,131,116.0,12.646,2,2,0/0,0/0,"{'hotDeckDischargeTemp': {'N4-Integ01': 7, 'N4-Integ02': 109}, 'dischargeTemp': {'N4-Integ02': 15}}",,,
hdsa tmp sp,hotDeckDischargeTempSp,hotDeckDischargeTempSp,False,2,131,116.0,10.0,1,1,0/0,0/0,"{'dischargeTempSp': {'N4-Integ02': 15}, 'hotDeckDischargeTempSp': {'N4-Integ02': 116}}",,,
cdsa tmp,coldDeckDischargeTemp,coldDeckDischargeTemp,False,2,130,91.0,11.811,2,2,0/0,0/0,"{'coldDeckDischargeTemp': {'N4-Integ01': 7, 'N4-Integ02': 84}, 'dischargeTemp': {'N4-Integ02': 39}}",,,
co2 sp,returnCO2Sp,returnCO2Sp,False,2,127,122.0,19.014,3,3,0/0,0/0,"{'zoneCO2Sp': {'N4-Integ01': 2, 'N4-Integ04': 3}, 'returnCO2Sp': {'N4-Integ02': 29, 'N4-Integ03': 43, 'N4-Integ04': 50}}",zoneCO2Sp,N4-Integ06:zoneCO2Sp,
min flow sp,dischargeFlowMinSp,dischargeFlowMinSp,False,4,126,50.0,7.071,1,1,0/0,0/0,"{'dischargeFlowCoolMinSp': {'N4-Integ01': 44}, 'dischargeFlowHeatMinSp': {'N4-Integ01': 2}, 'dischargeFlowMinSp': {'N4-Integ04': 50}, 'outsideFlowMinSp': {'N4-Integ04': 30}}",,,
fan spd,dischargeFanSpeed,dischargeFanSpeed,False,3,122,119.0,14.0,4,4,0/0,0/0,"{'dischargeFanSpeed': {'N4-Integ01': 1, 'N4-Integ02': 113, 'N4-Integ03': 4, 'N4-Integ04': 1}, 'twrFanSpeedFb': {'N4-Integ02': 2}, 'exhaustFanSpeed': {'N4-Integ04': 1}}",dryCoolerFanSpeed,,
hd st prs sp,hotDeckDischargePressureSp,hotDeckDischargePressureSp,False,3,115,96.0,13.074,2,2,0/0,0/0,"{'dischargePressureSp': {'N4-Integ02': 15}, 'hotDeckDischargePressSp': {'N4-Integ02': 4}, 'hotDeckDischargePressureSp': {'N4-Integ02': 78, 'N4-Integ04': 18}}",hotDeckDischargePressureSp,,
htg load,heatingDemand,heatingDemand,False,2,113,89.0,15.452,3,3,0/0,0/0,"{'heatingDemand': {'N4-Integ01': 7, 'N4-Integ03': 41, 'N4-Integ04': 41}, 'zoneHeatingDemand': {'N4-Integ01': 24}}",,,
cc vlv pos,coolingValve,coolingValve,False,2,107,74.0,12.0,3,3,0/0,0/0,"{'coolingValve': {'N4-Integ01': 9, 'N4-Integ03': 64, 'N4-Integ04': 1}, 'coolingValveFb': {'N4-Integ02': 33}}",coolingValveFb,,
cd st prs sp,coldDeckDischargePressureSp,coldDeckDischargePressureSp,False,3,105,99.0,13.243,2,2,0/0,0/0,"{'coldDeckDischargePressSp': {'N4-Integ02': 3}, 'coldDeckDischargePressureSp': {'N4-Integ02': 81, 'N4-Integ04': 18}, 'dischargePressureSp': {'N4-Integ02': 3}}",coldDeckDischargePressureSp,,
eff occ,occupancyMode,occupancyMode,False,2,103,101.0,19.418,4,4,0/0,0/0,"{'occupancyMode': {'N4-Integ01': 11, 'N4-Integ02': 27, 'N4-Integ03': 46, 'N4-Integ04': 17}, 'occupiedMode': {'N4-Integ04': 2}}",occupancyMode,N4-Integ06:occupancyStatus,
ma dmp,outsideDamper,outsideDamper,False,3,100,98.0,9.899,1,1,0/0,0/0,"{'mixedDamper': {'N4-Integ02': 1}, 'exhaustDamper': {'N4-Integ02': 1}, 'outsideDamper': {'N4-Integ02': 98}}",,,
oa dmp cmd,outsideDamper,outsideDamper,False,2,100,99.0,18.504,4,4,0/0,0/0,"{'outsideDamper': {'N4-Integ01': 9, 'N4-Integ02': 12, 'N4-Integ03': 19, 'N4-Integ04': 59}, 'outsideIsoDamper': {'N4-Integ04': 1}}",outsideDamper,N4-Integ06:outsideDamper,
cdsfvfd cmd,coldDeckFan,coldDeckFan,False,2,100,84.0,9.165,1,1,0/0,0/0,"{'coldDeckFan': {'N4-Integ02': 84}, 'dischargeFan': {'N4-Integ02': 16}}",,,
cdsfvfd sts,coldDeckFanStatus,coldDeckFanStatus,False,2,100,84.0,9.165,1,1,0/0,0/0,"{'coldDeckFanStatus': {'N4-Integ02': 84}, 'dischargeFanStatus': {'N4-Integ02': 16}}",,,
hdsfvfd cmd,hotDeckFan,hotDeckFan,False,2,100,85.0,9.22,1,1,0/0,0/0,"{'dischargeFan': {'N4-Integ02': 15}, 'hotDeckFan': {'N4-Integ02': 85}}",,,
hdsfvfd sts,hotDeckFanStatus,hotDeckFanStatus,False,2,100,85.0,9.22,1,1,0/0,0/0,"{'dischargeFanStatus': {'N4-Integ02': 15}, 'hotDeckFanStatus': {'N4-Integ02': 85}}",,,
ef cmd,exhaustFan,exhaustFan,False,2,99,97.0,14.657,3,3,0/0,0/0,"{'exhaustFan': {'N4-Integ02': 64, 'N4-Integ03': 32, 'N4-Integ04': 1}, 'returnFan': {'N4-Integ04': 2}}",exhaustFan,N4-Integ06:exhaustFan,
hdsfvfd spd,hotDeckFanSpeed,hotDeckFanSpeed,False,3,99,84.0,9.165,1,1,0/0,0/0,"{'dischargeFanSpeedFb': {'N4-Integ02': 14}, 'dischargeSpeedFb': {'N4-Integ02': 1}, 'hotDeckFanSpeed': {'N4-Integ02': 84}}",,,
rfvfd cmd,returnFan,returnFan,False,3,95,66.0,8.124,1,1,0/0,0/0,"{'exhaustFan': {'N4-Integ02': 28}, 'reliefDamper': {'N4-Integ02': 1}, 'returnFan': {'N4-Integ02': 66}}",,,
rfvfd sts,returnFanStatus,returnFanStatus,False,2,95,65.0,8.062,1,1,0/0,0/0,"{'exhaustFanStatus': {'N4-Integ02': 30}, 'returnFanStatus': {'N4-Integ02': 65}}",,,
sa dmpr pos,dischargeDamperFb,dischargeDamperFb,False,2,93,93.0,9.644,1,1,0/0,0/0,"{'dischargeDamper': {}, 'dischargeDamperFb': {'N4-Integ03': 93}}",,,
htg sp,occupiedHeatSp,occupiedHeatSp,False,4,93,86.0,9.274,1,1,0/0,0/0,"{'occupiedHeatSp': {'N4-Integ03': 86}, 'secLeavingTempSp': {'N4-Integ03': 1}, 'dischargeTempHeatSp': {'N4-Integ04': 4}, 'reHeatingCoilDischargeTempSp': {'N4-Integ04': 2}}",occupiedHeatSp,,
ra dmp,reliefDamper,reliefDamper,False,3,92,58.0,7.616,1,1,0/0,0/0,"{'returnDamper': {'N4-Integ02': 4, 'N4-Integ03': 6}, 'exhaustDamper': {'N4-Integ02': 24}, 'reliefDamper': {'N4-Integ02': 58}}",,N4-Integ06:returnDamper,
clg sts,coolingStageStatus,coolingStageStatus,False,2,92,91.0,9.539,1,1,0/0,0/0,"{'coolingEnable': {'N4-Integ03': 1}, 'coolingStageStatus': {'N4-Integ04': 91}}",,,
htg sts,heatingStageStatus,heatingStageStatus,False,2,91,91.0,9.539,1,1,0/0,0/0,"{'heatingStatus': {}, 'heatingStageStatus': {'N4-Integ04': 91}}",,,
rfvfd spd,returnFanSpeed,returnFanSpeed,False,2,91,64.0,8.0,1,1,0/0,0/0,"{'exhaustFanSpeed': {'N4-Integ02': 27}, 'returnFanSpeed': {'N4-Integ02': 64}}",,,
clg sp,occupiedCoolSp,occupiedCoolSp,False,2,91,87.0,9.327,1,1,0/0,0/0,"{'occupiedCoolSp': {'N4-Integ03': 87}, 'dischargeTempCoolSp': {'N4-Integ04': 4}}",occupiedCoolSp,,
co2,returnCO2,returnCO2,False,2,90,69.0,11.71,2,2,0/0,0/0,"{'returnCO2': {'N4-Integ02': 29, 'N4-Integ03': 40}, 'zoneCO2': {'N4-Integ02': 21}}",zoneCO2,,
hc vlv pos,heatingValve,heatingValve,False,2,89,72.0,14.296,3,3,0/0,0/0,"{'heatingValve': {'N4-Integ01': 10, 'N4-Integ02': 30, 'N4-Integ03': 32}, 'heatingValveFb': {'N4-Integ02': 17}}",heatingValveFb,,
fan sts,dischargeFanStatus,dischargeFanStatus,False,2,88,81.0,13.654,3,3,0/0,0/0,"{'dischargeFanStatus': {'N4-Integ01': 2, 'N4-Integ02': 57, 'N4-Integ03': 22}, 'exhaustFanStatus': {'N4-Integ04': 7}}",dischargeFanStatus,N4-Integ06:dischargeFanStatus,
oa dmp pos,outsideDamper,outsideDamper,False,4,88,63.0,10.786,3,3,0/0,0/0,"{'dischargeDamper': {'N4-Integ02': 1}, 'outsideDamper': {'N4-Integ02': 5, 'N4-Integ03': 57, 'N4-Integ04': 1}, 'outsideDamperFb': {'N4-Integ02': 7, 'N4-Integ03': 14, 'N4-Integ04': 2}, 'reliefDamper': {'N4-Integ03': 1}}",outsideDamperFb,N4-Integ06:outsideDamperFb,
cdsfvfd spd,coldDeckFanSpeed,coldDeckFanSpeed,False,3,87,84.0,9.165,1,1,0/0,0/0,"{'coldDeckFanSpeed': {'N4-Integ02': 84}, 'dischargeFanSpeed': {'N4-Integ02': 2}, 'dischargeFanSpeedFb': {'N4-Integ02': 1}}",,,
chw vlv pos,coolingValve,coolingValve,False,3,85,75.0,15.858,4,4,0/0,0/0,"{'coolingValveFb': {'N4-Integ02': 7, 'N4-Integ04': 2}, 'coolingValve': {'N4-Integ01': 22, 'N4-Integ02': 30, 'N4-Integ03': 1, 'N4-Integ04': 22}, 'secMixingValve': {'N4-Integ03': 1}}",coolingValve,,
est dmpr pos cd,coldDeckDamper,coldDeckDamper,False,2,81,52.0,7.211,1,1,0/0,0/0,"{'coldDeckDamper': {'N4-Integ02': 52}, 'dischargeDamperFb': {'N4-Integ02': 29}}",,,
est dmpr pos hd,hotDeckDamper,hotDeckDamper,False,2,81,52.0,7.211,1,1,0/0,0/0,"{'hotDeckDamper': {'N4-Integ02': 52}, 'hotDeckDamperFb': {'N4-Integ02': 29}}",,,
ef sts,exhaustFanStatus,exhaustFanStatus,False,3,80,69.0,12.314,3,3,0/0,0/0,"{'dischargeFanStatus': {'N4-Integ01': 8, 'N4-Integ02': 1}, 'exhaustFanStatus': {'N4-Integ02': 50, 'N4-Integ03': 18, 'N4-Integ04': 1}, 'returnFanStatus': {'N4-Integ04': 2}}",exhaustFanStatus,N4-Integ06:exhaustFanStatus,
ra dmp pos,returnDamper,returnDamper,False,2,80,70.0,12.362,3,3,0/0,0/0,"{'returnDamper': {'N4-Integ02': 2, 'N4-Integ03': 56, 'N4-Integ04': 12}, 'returnDamperFb': {'N4-Integ03': 10}}",,N4-Integ06:returnDamper,
max flow sp,dischargeFlowMaxSp,dischargeFlowMaxSp,False,2,80,50.0,7.071,1,1,0/0,0/0,"{'dischargeFlowMaxSp': {'N4-Integ04': 50}, 'outsideFlowMaxSp': {'N4-Integ04': 30}}",,,
ena,unitEnable,unitEnable,False,3,79,72.0,8.485,1,1,0/0,0/0,"{'systemEnable': {'N4-Integ01': 3, 'N4-Integ04': 3}, 'chillerEnable': {'N4-Integ02': 1}, 'unitEnable': {'N4-Integ04': 72}}",unitEnable,,
chw vlv,coolingValve,coolingValve,False,2,77,79.0,17.915,3,3,3/0,3/0,"{'coolingValve': {'N4-Integ01': 32, 'N4-Integ02': 15, 'N4-Integ03': 29}, 'mixingValve': {'N4-Integ01': 1}}",,N4-Integ06:coolingValve,
hw pmp sts,heatingCoilPumpStatus,heatingCoilPumpStatus,False,3,76,54.0,11.258,2,2,1/0,1/0,"{'heatingCoilPumpStatus': {'N4-Integ02': 31, 'N4-Integ03': 22}, 'secPumpStatus': {'N4-Integ02': 10, 'N4-Integ03': 5, 'N4-Integ04': 6}, 'priPumpStatus': {'N4-Integ02': 2}}",secPumpStatus,N4-Integ06:heatingCoilPumpStatus,
vfd sts,dischargeFanStatus,dischargeFanStatus,False,2,76,72.0,11.99,2,2,0/0,0/0,"{'dischargeFanStatus': {'N4-Integ01': 39, 'N4-Integ02': 33}, 'twrFanStatus': {'N4-Integ03': 4}}",,,
hw pmp cmd,heatingCoilPump,heatingCoilPump,False,2,72,54.0,11.258,2,2,1/0,1/0,"{'heatingCoilPump': {'N4-Integ02': 31, 'N4-Integ03': 22}, 'secPump': {'N4-Integ02': 7, 'N4-Integ03': 6, 'N4-Integ04': 6}}",secPump,N4-Integ06:secPump,
speed feedback,dischargeFanSpeedFb,dischargeFanSpeedFb,False,2,72,37.0,6.083,1,1,0/0,0/0,"{'dischargeFanSpeedFb': {'N4-Integ02': 37}, 'returnFanSpeedFb': {'N4-Integ02': 35}}",,,
cc v,coolingValve,coolingValve,False,2,66,65.0,10.744,2,2,0/0,0/0,"{'coolingValve': {'N4-Integ01': 12, 'N4-Integ04': 53}, 'coolingValveFb': {'N4-Integ02': 1}}",,,
oa cfm,outsideFlow,outsideFlow,False,2,62,61.0,11.585,4,4,0/0,0/0,"{'outsideFlow': {'N4-Integ01': 5, 'N4-Integ02': 1, 'N4-Integ03': 54, 'N4-Integ04': 1}, 'dischargeFlow': {'N4-Integ02': 1}}",,,
max flow cool sp,dischargeFlowCoolMaxSp,dischargeFlowCoolMaxSp,False,2,61,61.0,8.746,1,1,1/0,1/0,"{'dischargeFlowCoolMaxSp': {'N4-Integ01': 60}, 'dischargeFlowMaxSp': {'N4-Integ01': 1}}",dischargeFlowCoolMaxSp,,
econ dmp cmd,outsideDamper,outsideDamper,False,2,61,52.0,8.485,2,2,0/0,0/0,"{'outsideDamper': {'N4-Integ01': 2, 'N4-Integ04': 50}, 'outsideDampe': {'N4-Integ04': 9}}",,N4-Integ06:outsideIsoDamper,
hdcd dmp cmd,dischargeDamper,dischargeDamper,False,2,61,55.0,10.198,2,2,0/0,0/0,"{'dischargeDamper': {'N4-Integ01': 15, 'N4-Integ03': 40}, 'hotDeckDamper': {'N4-Integ03': 6}}",,,
ma dmp cmd,outsideDamper,outsideDamper,False,2,59,58.0,12.556,4,4,0/0,0/0,"{'outsideDamper': {'N4-Integ01': 1, 'N4-Integ02': 32, 'N4-Integ03': 24, 'N4-Integ04': 1}, 'minOutsideDamper': {'N4-Integ02': 1}}",outsideDamper,,
hcv,heatingValve,heatingValve,False,2,59,58.0,7.616,1,1,0/0,0/0,"{'heatingValve': {'N4-Integ02': 58}, 'heatingValveFb': {'N4-Integ02': 1}}",,,
min flow heat sp,dischargeFlowHeatMinSp,dischargeFlowHeatMinSp,False,2,57,57.0,8.483,1,1,1/0,1/0,"{'dischargeFlowHeatMinSp': {'N4-Integ01': 56}, 'dischargeFlowHeatSp': {'N4-Integ02': 1}}",dischargeFlowHeatMinSp,,
act cool sp,zoneCoolSp,zoneCoolSp,False,3,57,54.0,7.348,1,1,0/0,0/0,"{'zoneCoolSp': {'N4-Integ01': 54}, 'occupiedCoolSp': {'N4-Integ03': 1}, 'zoneTempSp': {'N4-Integ03': 2}}",,,
preheat temp,heatingCoilDischargeTemp,heatingCoilDischargeTemp,False,3,56,51.0,7.141,1,1,0/0,0/0,"{'preHeatingTemp': {'N4-Integ02': 4}, 'heatingCoilDischargeTemp': {'N4-Integ03': 51}, 'preHeatingCoilDischargeTemp': {'N4-Integ03': 1}}",,,
clg tmp,coolingCoilLeavingTemp,coolingCoilLeavingTemp,False,2,53,33.0,5.745,1,1,0/0,0/0,"{'coolingCoilLeavingTemp': {'N4-Integ02': 33}, 'coolingCoilDischargeTemp': {'N4-Integ03': 20}}",,,
sa dmp pos,damper,damper,False,2,53,35.0,5.916,1,1,0/0,0/0,"{'damper': {'N4-Integ03': 35}, 'dischargeDamper': {'N4-Integ03': 18}}",,,
sa fan status,dischargeFanStatus,dischargeFanStatus,False,2,52,42.0,10.732,2,2,3/0,3/0,"{'dischargeFanStatus': {'N4-Integ02': 3, 'N4-Integ03': 36}, 'dischargeFanStatuss': {'N4-Integ03': 13}}",dischargeFanStatus,,
valve cmd,heatingValve,heatingValve,False,2,52,39.0,7.164,2,2,0/0,0/0,"{'heatingValve': {'N4-Integ01': 1, 'N4-Integ02': 38}, 'perimeterHeatingValve': {'N4-Integ01': 13}}",,,
hum vlv cmd,humidifierValve,humidifierValve,False,2,51,50.0,11.991,3,3,0/0,0/0,"{'humidifierValve': {'N4-Integ01': 8, 'N4-Integ03': 22, 'N4-Integ04': 20}, 'returnHumidity': {'N4-Integ04': 1}}",humidifierValve,N4-Integ06:humidifierValve,
chws tmp,secLeavingTemp,secLeavingTemp,False,3,49,24.0,8.841,4,4,0/0,0/0,"{'evapLeavingTemp': {'N4-Integ02': 5}, 'secLeavingTemp': {'N4-Integ01': 1, 'N4-Integ02': 15, 'N4-Integ03': 5, 'N4-Integ04': 3}, 'priLeavingTemp': {'N4-Integ02': 19, 'N4-Integ03': 1}}",coolingCoilLeavingTemp,N4-Integ06:evapLeavingTemp,
steam valve,heatingValve,heatingValve,False,4,48,24.0,4.899,1,1,0/0,0/0,"{'steamValve': {}, 'heatingValve': {'N4-Integ02': 24}, 'priValveOneThird': {'N4-Integ02': 12}, 'priValveTwoThird': {'N4-Integ02': 12}}",,,
chwr tmp,secEnteringTemp,secEnteringTemp,False,3,47,41.0,10.395,4,4,0/0,0/0,"{'evapEnteringTemp': {'N4-Integ02': 5}, 'secEnteringTemp': {'N4-Integ01': 1, 'N4-Integ02': 33, 'N4-Integ03': 5, 'N4-Integ04': 2}, 'priReturnTemp': {'N4-Integ03': 1}}",coolingCoilEnteringTemp,N4-Integ06:evapEnteringTemp,
ccv,coolingValve,coolingValve,False,2,46,45.0,6.708,1,1,0/0,0/0,"{'coolingValve': {'N4-Integ02': 45}, 'coolingValveFb': {'N4-Integ02': 1}}",,,
oa damper pos,outsideDamperFb,outsideDamperFb,False,2,44,38.0,6.164,1,1,0/0,0/0,"{'dischargeDamper': {'N4-Integ01': 6}, 'outsideDamperFb': {'N4-Integ01': 38}}",,,
rco2 st pt,returnCO2Sp,returnCO2Sp,False,2,44,43.0,6.557,1,1,0/0,0/0,"{'returnCO2': {'N4-Integ01': 1}, 'returnCO2Sp': {'N4-Integ01': 43}}",,,
vfd spd,dischargeFanSpeed,dischargeFanSpeed,False,3,44,39.0,6.245,1,1,0/0,0/0,"{'dischargeFanSpeed': {'N4-Integ01': 39}, 'secPumpSpeed': {'N4-Integ01': 1}, 'twrFanSpeedFb': {'N4-Integ03': 4}}",,,
vfd ss,dischargeFan,dischargeFan,False,2,41,40.0,6.325,1,1,0/0,0/0,"{'dischargeFan': {'N4-Integ01': 40}, 'secPump': {'N4-Integ01': 1}}",,,
chw pmp sts,secPumpStatus,secPumpStatus,False,3,40,28.0,8.968,3,3,0/0,0/0,"{'evapPumpStatus': {'N4-Integ02': 4}, 'secPumpStatus': {'N4-Integ02': 15, 'N4-Integ03': 7, 'N4-Integ04': 6}, 'priPumpStatus': {'N4-Integ02': 1, 'N4-Integ03': 7}}",,N4-Integ06:condPumpStatus,
act heat sp,zoneHeatSp,zoneHeatSp,False,2,39,38.0,6.164,1,1,0/0,0/0,"{'zoneHeatSp': {'N4-Integ01': 38}, 'occupiedHeatSp': {'N4-Integ03': 1}}",,,
fan command,dischargeFanSpeed,dischargeFanSpeed,False,3,39,22.0,4.69,1,1,0/0,0/0,"{'exhaustFan': {'N4-Integ01': 6}, 'dischargeFanSpeed': {'N4-Integ03': 22}, 'dischargeFan': {'N4-Integ04': 11}}",dischargeFan,,
hwv comd,heatingValve,heatingValve,False,2,39,25.0,5.0,1,1,0/0,0/0,"{'heatingValve': {'N4-Integ02': 25}, 'radiantHeatingValve': {'N4-Integ02': 14}}",,,
hwv pos,heatingValveFb,heatingValveFb,False,2,39,25.0,5.0,1,1,0/0,0/0,"{'heatingValveFb': {'N4-Integ02': 25}, 'radiantHeatingValveFb': {'N4-Integ02': 14}}",,,
bldg p,buildingPressure,buildingPressure,False,2,36,39.0,10.831,2,2,4/0,4/0,"{'buildingPressure': {'N4-Integ02': 1, 'N4-Integ04': 34}, 'zonePressure': {'N4-Integ04': 1}}",,,
supply static,dischargePressure,dischargePressure,False,2,36,35.0,6.831,1,1,1/0,1/0,"{'dischargePressure': {'N4-Integ03': 34}, 'dischargePressureSp': {'N4-Integ03': 2}}",,,
fan flow,dischargeFlow,dischargeFlow,False,2,36,30.0,5.477,1,1,0/0,0/0,"{'exhaustFlow': {'N4-Integ02': 6}, 'dischargeFlow': {'N4-Integ02': 30}}",,,
econ s,econMode,econMode,False,2,36,29.0,5.385,1,1,0/0,0/0,"{'econEnable': {'N4-Integ04': 7}, 'econMode': {'N4-Integ04': 29}}",,,
ra tmp virt,returnTemp,returnTemp,False,2,35,26.0,5.099,1,1,0/0,0/0,"{'retunTemp': {'N4-Integ04': 9}, 'returnTemp': {'N4-Integ04': 26}}",,,
sf high cmd,dischargeFanSpeedMaxSp,dischargeFanSpeedMaxSp,False,2,35,20.0,4.472,1,1,0/0,0/0,"{'dischargeFanSpeedStage': {'N4-Integ04': 15}, 'dischargeFanSpeedMaxSp': {'N4-Integ04': 20}}",,,
sf low cmd,dischargeFanSpeedMinSp,dischargeFanSpeedMinSp,False,2,35,20.0,4.472,1,1,0/0,0/0,"{'dischargeFanSpeedStage': {'N4-Integ04': 15}, 'dischargeFanSpeedMinSp': {'N4-Integ04': 20}}",,,
min oa setpt,outsideDamperMinSp,outsideDamperMinSp,False,3,34,33.0,5.745,1,1,0/0,0/0,"{'minOutsideDamperMinSp': {}, 'outsideDamperMinSp': {'N4-Integ01': 33}, 'outsideFlowMinSp': {'N4-Integ03': 1}}",,,
rad,returnDamper,returnDamper,False,2,34,32.0,5.657,1,1,0/0,0/0,"{'outsideDamper': {'N4-Integ02': 2}, 'returnDamper': {'N4-Integ02': 32}}",,,
min oa dpr pos,outsideDamperMinSp,outsideDamperMinSp,False,2,33,22.0,4.69,1,1,0/0,0/0,"{'outsideDamperMinSp': {'N4-Integ01': 22}, 'minOutsideDamper': {'N4-Integ04': 11}}",,,
max sa tmp sp,dischargeTempMaxSp,dischargeTempMaxSp,False,2,33,31.0,5.568,1,1,0/0,0/0,"{'mixedTempHiSp': {'N4-Integ03': 2}, 'dischargeTempMaxSp': {'N4-Integ04': 31}}",,,
moad o,minOutsideDamper,minOutsideDamper,False,2,33,32.0,5.657,1,1,0/0,0/0,"{'minOutsideDamper': {'N4-Integ04': 32}, 'outsideDamper': {'N4-Integ04': 1}}",,,
chw pmp cmd,secPump,secPump,False,4,32,27.0,8.883,3,3,0/0,0/0,"{'evapPumpEnable': {}, 'evapPump': {'N4-Integ02': 4}, 'secPump': {'N4-Integ02': 13, 'N4-Integ03': 8, 'N4-Integ04': 6}, 'coolingCoilPump': {'N4-Integ02': 1}}",evapPump,,
hum cmd,humidifier,humidifier,False,2,32,21.0,5.773,2,2,0/0,0/0,"{'humidifier': {'N4-Integ02': 2, 'N4-Integ04': 19}, 'humidifierValve': {'N4-Integ04': 11}}",humidifierEnable,N4-Integ06:humidifierValve,
mam,minOutsideDamper,minOutsideDamper,False,2,32,30.0,5.477,1,1,0/0,0/0,"{'minOutsideDamper': {'N4-Integ02': 30}, 'outsideDamperMinSp': {'N4-Integ02': 2}}",,,
htg cmd,heatingStage,heatingStage,False,4,31,18.0,4.243,1,1,0/0,0/0,"{'heatingEnable': {}, 'heatingValve': {'N4-Integ02': 1}, 'heatingDemand': {'N4-Integ03': 12}, 'heatingStage': {'N4-Integ03': 18}}",heatingValve,,
chw vlv sig,coolingValve,coolingValve,False,2,31,19.0,5.978,2,2,0/0,0/0,"{'coolingValve': {'N4-Integ01': 5, 'N4-Integ03': 14}, 'coolingValveFb': {'N4-Integ03': 5, 'N4-Integ04': 7}}",,,
